Unnamed: 0,Delivery_person_Age,Delivery_person_Ratings,Weather_conditions,Road_traffic_density,Vehicle_condition,Type_of_order,multiple_deliveries,City,distance,time_diff_minutes,Time_taken (min)
20537,38.0,4.5,Fog,Medium,2,Snack,1.0,Metropolitian,9.195979881385286,38,15
33155,25.0,4.9,Cloudy,Medium,0,Buffet,1.0,Urban,10.870549740961929,0,32
21552,20.0,4.6,Fog,Jam,0,Meal,2.0,Metropolitian,13.97635465958695,0,40
12792,38.0,4.8,Sunny,High,2,Snack,0.0,Urban,3.030478123412965,22,15
21384,24.0,4.8,Sunny,Low,1,Buffet,0.0,Metropolitian,7.765381096122746,58,16
14280,29.0,4.8,Sandstorms,Low,1,Drinks,0.0,Metropolitian,7.775250055052099,2,12
24625,35.0,4.7,Sandstorms,High,2,Drinks,0.0,Urban,6.210631028768707,39,25
8357,39.0,4.8,Sandstorms,High,1,Snack,0.0,Metropolitian,6.212048437432228,25,26
12135,39.0,4.2,Cloudy,Jam,2,Meal,0.0,Metropolitian,13.410714806613722,31,35
1157,34.0,4.8,Sunny,Jam,1,Drinks,1.0,Metropolitian,17.17074984884596,6,28
15937,36.0,4.9,Cloudy,Low,1,Snack,0.0,Urban,3.030478123412965,55,19
2352,32.0,4.7,Windy,Low,2,Snack,1.0,Metropolitian,1.558575634600763,53,29
20882,34.0,4.5,Fog,Jam,0,Snack,2.0,Metropolitian,12.48851000344903,55,43
36741,31.0,4.6,Sunny,Medium,2,Meal,0.0,Urban,20.21268929347144,3,25
12956,26.0,4.6,Cloudy,Low,1,Buffet,0.0,Metropolitian,1.5529163554089458,28,14
3166,22.0,4.6,Cloudy,High,2,Drinks,1.0,Metropolitian,3.117266328357049,0,32
29513,20.0,4.8,Sandstorms,Low,1,Drinks,0.0,Urban,16.90820772794009,42,11
39069,23.0,4.9,Sunny,Jam,2,Snack,1.0,Urban,10.88484774896155,6,19
6518,30.0,4.7,Stormy,Medium,1,Drinks,1.0,Urban,9.351044258101393,2,28
23106,37.0,3.9,Sandstorms,Medium,2,Snack,1.0,Metropolitian,10.420301722604163,0,38
12607,28.0,4.6,Sandstorms,Medium,0,Buffet,1.0,Metropolitian,16.830146069924478,38,28
6671,39.0,4.0,Windy,Jam,0,Meal,1.0,Urban,9.058867165694403,31,36
33704,22.0,4.9,Windy,Jam,1,Snack,1.0,Metropolitian,9.057444671185143,11,29
4365,37.0,4.6,Fog,Medium,1,Drinks,2.0,Metropolitian,16.83005378712095,23,37
4928,27.0,4.4,Sandstorms,Jam,0,Buffet,1.0,Metropolitian,13.9763350687796,30,33
38295,31.0,4.1,Fog,Jam,1,Drinks,1.0,Urban,20.86366284110468,36,43
37025,33.0,4.7,Stormy,Medium,1,Buffet,1.0,Metropolitian,12.237080283860363,38,27
44032,35.0,4.6,Sunny,High,2,Drinks,1.0,Metropolitian,6.219641026813661,28,18
33726,24.0,4.4,Stormy,Low,0,Meal,1.0,Metropolitian,4.719082053000275,48,23
923,36.0,4.4,Stormy,Jam,1,Drinks,1.0,Metropolitian,14.04978220650426,59,39
10429,34.0,4.5,Sunny,Low,0,Snack,1.0,Metropolitian,16.858125364863483,33,25
20484,20.0,4.5,Sandstorms,Medium,0,Meal,1.0,Metropolitian,9.17807414387102,0,24
905,25.0,4.9,Windy,Jam,2,Snack,1.0,Metropolitian,13.616720807535398,50,28
29270,36.0,4.9,Cloudy,High,0,Meal,1.0,Metropolitian,5.954773364097914,48,25
9259,34.0,3.5,Sandstorms,Jam,2,Meal,1.0,Metropolitian,16.653230514154565,4,31
32252,25.0,4.8,Fog,Medium,2,Buffet,1.0,Urban,9.329544722283,2,17
681,33.0,5.0,Sandstorms,Low,2,Drinks,1.0,Metropolitian,3.0599288945934515,59,24
12661,38.0,4.5,Sandstorms,Jam,2,Snack,0.0,Metropolitian,19.981966861115872,6,36
10239,21.0,4.6,Fog,Low,2,Meal,1.0,Metropolitian,13.4105640114052,7,23
1855,29.0,4.8,Cloudy,Jam,1,Snack,1.0,Urban,9.195767200976382,40,27
14590,22.0,4.5,Fog,Low,0,Buffet,0.0,Urban,7.575840369133242,33,15
34130,37.0,4.9,Sunny,Jam,2,Buffet,1.0,Metropolitian,12.165460183093602,6,21
7347,32.0,4.9,Stormy,Jam,2,Drinks,1.0,Metropolitian,16.909063723605502,46,28
35830,30.0,4.6,Stormy,Jam,2,Snack,0.0,Metropolitian,20.188404502827375,31,26
26752,32.0,4.7,Windy,Jam,1,Snack,1.0,Metropolitian,7.633920530609673,0,34
21245,37.0,4.2,Cloudy,Jam,0,Drinks,0.0,Metropolitian,9.078201444608636,55,34
6689,33.0,4.8,Sunny,High,0,Drinks,0.0,Metropolitian,1.5327563431284303,56,25
22913,28.0,4.9,Stormy,Medium,1,Drinks,1.0,Urban,4.612045403768282,8,29
12027,32.0,4.7,Sunny,High,2,Buffet,1.0,Urban,5.961163865781736,0,16
27077,29.0,5.0,Stormy,Low,1,Meal,1.0,Metropolitian,4.683367642337976,38,13
41691,30.0,4.9,Sunny,Low,1,Snack,1.0,Urban,4.529646520852901,0,11
45532,33.0,4.3,Windy,High,0,Buffet,0.0,Metropolitian,6.234137032960067,38,35
36016,37.0,4.6,Windy,Medium,1,Buffet,1.0,Metropolitian,13.97756914980624,48,27
21972,37.0,4.6,Sunny,Jam,2,Meal,1.0,Metropolitian,20.18407669776513,31,16
40551,29.566910587697237,4.6,Sunny,High,1,Buffet,1.0,Metropolitian,3.0198164327141006,46,15
442,39.0,5.0,Cloudy,Low,0,Meal,1.0,Metropolitian,20.19013517381441,13,41
29560,25.0,4.6,Stormy,Jam,2,Buffet,0.0,Metropolitian,4.658621705148369,27,16
33068,29.0,4.6,Sunny,Medium,1,Meal,0.0,Metropolitian,4.5973832929843645,0,15
44261,36.0,5.0,Fog,Low,1,Meal,0.0,Metropolitian,1.5131889603991624,20,19
41449,30.0,4.9,Windy,Low,1,Snack,1.0,Urban,7.765922923766985,52,27
14203,21.0,4.8,Sunny,Medium,0,Meal,1.0,Metropolitian,9.124362511098642,38,21
3974,33.0,4.9,Cloudy,Low,0,Drinks,1.0,Metropolitian,9.43816345911881,42,21
17235,29.566910587697237,4.6,Stormy,Low,0,Drinks,1.0,Metropolitian,12.42237893970036,47,28
19008,32.0,5.0,Fog,High,0,Snack,1.0,Metropolitian,3.106108506459124,36,32
29120,29.566910587697237,4.6,Sunny,Low,0,Drinks,0.0,Metropolitian,10.870698220528068,58,26
1291,35.0,3.7,Stormy,Jam,2,Snack,0.0,Metropolitian,19.889229584599477,26,31
13341,38.0,4.9,Sandstorms,Low,1,Buffet,0.0,Metropolitian,14.026655262644244,7,23
44921,36.0,4.7,Sandstorms,Jam,2,Snack,1.0,Metropolitian,7.653264588120578,0,34
43863,26.0,4.7,Cloudy,Medium,1,Drinks,1.0,Metropolitian,12.296581703265828,0,28
12712,28.0,4.0,Cloudy,Medium,2,Meal,1.0,Metropolitian,10.431376314751596,42,38
33577,37.0,4.8,Sunny,Medium,0,Snack,1.0,Metropolitian,6.119594248027193,36,27
37172,36.0,4.6,Fog,Low,2,Drinks,1.0,Metropolitian,9.084120915851996,58,19
22795,32.0,4.8,Sandstorms,Medium,0,Drinks,1.0,Metropolitian,7.450982812847859,47,28
1368,27.0,4.8,Sandstorms,Medium,2,Snack,0.0,Metropolitian,19.402104090236374,42,17
1543,29.566910587697237,4.6,Sunny,Low,0,Snack,0.0,Metropolitian,1.5327458018551985,6,14
15448,39.0,4.8,Cloudy,Low,0,Buffet,0.0,Metropolitian,12.439142224412032,52,44
33440,24.0,4.8,Fog,Medium,0,Snack,0.0,Metropolitian,6.177352160969543,0,26
105,31.0,4.8,Sandstorms,Low,1,Snack,0.0,Metropolitian,7.764993745326693,7,24
19292,28.0,4.7,Fog,Jam,0,Meal,1.0,Metropolitian,4.529710662248728,0,25
40700,32.0,4.6,Cloudy,Jam,1,Buffet,2.0,Metropolitian,20.291770142202008,10,44
4887,21.0,4.6,Windy,Low,2,Drinks,0.0,Urban,10.88414699061599,29,13
43624,33.0,5.0,Sunny,Jam,1,Drinks,0.0,Metropolitian,16.853184564504172,0,28
27327,26.0,4.8,Fog,High,0,Meal,0.0,Urban,3.1171190078748774,31,25
40185,31.0,3.5,Stormy,Medium,1,Meal,1.0,Metropolitian,10.884321065655476,7,34
13155,30.0,4.9,Sunny,Jam,2,Drinks,1.0,Metropolitian,4.580451622889548,0,21
5039,24.0,4.7,Sunny,Low,2,Meal,1.0,Metropolitian,20.44934725735322,58,30
37067,37.0,4.7,Stormy,Medium,0,Drinks,1.0,Urban,4.470715039184446,53,28
34138,29.566910587697237,4.6,Sandstorms,Low,2,Snack,1.0,Metropolitian,13.409709107566847,0,17
20280,32.0,3.9,Cloudy,Low,2,Meal,1.0,Metropolitian,19.98190297515753,32,31
23257,37.0,5.0,Stormy,Medium,0,Snack,1.0,Urban,4.465591355063193,43,26
27054,30.0,4.9,Sandstorms,Medium,1,Buffet,0.0,Metropolitian,12.584217051037724,2,29
44496,33.0,4.1,Fog,Medium,1,Meal,0.0,Metropolitian,13.974145634462552,58,34
32130,38.0,4.9,Sandstorms,Low,2,Buffet,1.0,Urban,7.686153029846673,47,22
29319,29.566910587697237,4.6,Fog,High,0,Snack,1.0,Metropolitian,6.2128964974981695,49,23
17265,24.0,4.6,Cloudy,Low,0,Snack,1.0,Urban,4.665108629662017,58,15
42305,34.0,4.6,Fog,Low,0,Buffet,1.0,Metropolitian,19.92222315321962,8,38
4049,38.0,4.5,Sandstorms,Jam,1,Buffet,1.0,Metropolitian,16.727225452617763,46,43
31510,33.0,4.7,Windy,Low,1,Snack,1.0,Metropolitian,12.297428915947595,13,28
40652,30.0,4.7,Cloudy,High,0,Buffet,0.0,Urban,6.292109292193661,57,28
7314,29.0,5.0,Stormy,Medium,2,Snack,0.0,Metropolitian,7.764216623197583,58,26
8699,39.0,4.8,Cloudy,Low,0,Snack,1.0,Metropolitian,4.597920184276279,8,25
27540,28.0,4.7,Sandstorms,Medium,1,Drinks,1.0,Metropolitian,6.234348508632932,0,26
43382,31.0,4.6,Windy,Low,2,Snack,1.0,Metropolitian,7.764529610283746,58,22
30497,36.0,4.8,Sunny,Jam,0,Buffet,1.0,Metropolitian,10.760074648174696,54,29
27552,36.0,4.5,Stormy,Low,0,Buffet,1.0,Metropolitian,3.105546461386348,50,26
43305,30.0,4.0,Fog,Jam,2,Meal,0.0,Metropolitian,4.659113690717868,50,38
17109,32.0,4.8,Sunny,Low,2,Snack,0.0,Metropolitian,4.529605275354816,7,16
1514,21.0,4.6,Cloudy,Jam,0,Buffet,0.0,Metropolitian,10.760366912227669,0,43
8500,35.0,4.8,Windy,Medium,0,Snack,1.0,Metropolitian,11.921391165589352,38,31
43075,27.0,4.2,Sandstorms,Low,0,Snack,1.0,Metropolitian,9.317953007773008,11,29
43157,23.0,4.9,Windy,Low,1,Buffet,0.0,Metropolitian,3.105530642314862,49,17
39658,36.0,4.9,Cloudy,High,2,Drinks,0.0,Urban,6.149090290300634,22,27
10145,35.0,3.5,Sandstorms,Medium,1,Snack,1.0,Urban,11.908602691803884,52,31
4330,29.0,4.7,Stormy,High,1,Snack,1.0,Urban,6.118847562778637,0,13
42264,29.0,4.8,Cloudy,Jam,0,Meal,2.0,Metropolitian,12.42288026959522,36,43
12216,30.0,4.6,Cloudy,Medium,0,Drinks,1.0,Metropolitian,6.118847562778637,41,26
33177,35.0,4.1,Fog,Jam,0,Drinks,1.0,Metropolitian,4.658324868391264,0,31
9097,25.0,4.5,Fog,Medium,0,Snack,1.0,Metropolitian,13.586847442957977,0,34
9563,26.0,4.7,Sunny,Low,0,Snack,1.0,Metropolitian,3.041818186608348,49,17
32211,30.0,3.8,Stormy,Jam,1,Drinks,1.0,Metropolitian,10.726653226767583,34,38
38370,24.0,4.1,Sandstorms,Low,0,Buffet,0.0,Metropolitian,7.564852922438019,57,25
32804,29.0,4.6,Fog,Jam,1,Buffet,1.0,Metropolitian,4.545694030616617,0,27
3267,27.0,5.0,Sunny,Low,2,Snack,0.0,Metropolitian,1.555039181829115,19,18
36665,29.566910587697237,4.6,Stormy,Low,0,Drinks,1.0,Metropolitian,8.940725148436753,28,19
30753,26.0,4.4,Fog,Jam,1,Snack,0.0,Metropolitian,19.980633520553575,0,35
25039,39.0,5.0,Sunny,Low,1,Snack,0.0,Metropolitian,3.0262944920834505,0,12
44824,37.0,4.9,Fog,Medium,1,Meal,1.0,Urban,7.45075069185124,24,18
7464,24.0,5.0,Sandstorms,Low,2,Snack,0.0,Urban,3.065229013328713,0,15
31121,35.0,4.6,Fog,Medium,1,Buffet,1.0,Metropolitian,7.663153718555203,0,19
10167,28.0,4.7,Fog,Low,2,Drinks,1.0,Metropolitian,3.10994598393891,14,18
34936,31.0,4.6,Fog,Low,1,Meal,1.0,Metropolitian,1.5307398722583625,54,17
3661,37.0,4.6,Fog,Low,2,Meal,1.0,Urban,1.509913271156729,30,17
41849,37.0,4.8,Windy,Low,2,Meal,1.0,Metropolitian,9.3163736272833,48,20
7278,36.0,3.8,Sunny,Jam,2,Meal,1.0,Metropolitian,16.65186014388493,45,33
11653,29.566910587697237,4.6,Cloudy,Jam,0,Meal,1.0,Metropolitian,12.102821607336256,46,45
5401,28.0,4.7,Fog,Low,1,Meal,0.0,Metropolitian,7.564738209481037,0,16
23591,34.0,5.0,Sunny,Low,1,Snack,1.0,Urban,13.835097957625814,0,19
12240,35.0,4.7,Sunny,Jam,2,Drinks,1.0,Metropolitian,9.316223657172328,55,24
28376,28.0,4.2,Stormy,Low,0,Meal,0.0,Urban,3.065360855691009,49,25
44145,23.0,4.3,Sandstorms,Low,0,Buffet,1.0,Metropolitian,4.59769407357993,33,21
468,34.0,3.5,Windy,Medium,2,Snack,1.0,Metropolitian,11.921421691973752,42,32
18013,29.0,4.6,Cloudy,Jam,2,Buffet,0.0,Metropolitian,7.575847608020491,51,26
26090,36.0,4.9,Sunny,Jam,0,Snack,0.0,Metropolitian,13.587332700622255,10,40
32715,33.0,4.3,Windy,Jam,2,Buffet,1.0,Metropolitian,12.07784669572554,45,38
2111,26.0,4.1,Sandstorms,Low,0,Buffet,0.0,Metropolitian,9.195907228726783,13,29
8366,20.0,4.6,Stormy,Low,2,Snack,0.0,Metropolitian,3.0599288945934515,0,16
24975,29.566910587697237,4.6,Sandstorms,High,0,Buffet,1.0,Metropolitian,6.082857972435271,8,22
5499,29.0,4.5,Sandstorms,Medium,1,Meal,1.0,Metropolitian,17.303295941503084,57,20
23814,20.0,4.6,Windy,Jam,0,Buffet,1.0,Urban,10.868281225743866,35,35
35376,36.0,3.6,Stormy,Jam,2,Drinks,2.0,Metropolitian,10.430184075696028,54,40
21328,37.0,4.4,Windy,Medium,1,Meal,0.0,Metropolitian,16.640537402346094,3,32
2350,27.0,4.5,Windy,Medium,2,Snack,1.0,Metropolitian,12.487841377486482,43,25
357,38.0,3.7,Stormy,Jam,1,Meal,1.0,Metropolitian,16.858637792430503,50,31
5051,37.0,5.0,Stormy,Low,2,Drinks,1.0,Metropolitian,1.5549652675252918,30,20
34195,24.0,4.6,Windy,Low,2,Meal,1.0,Metropolitian,13.993641324257386,53,17
3750,37.0,5.0,Sunny,Medium,1,Meal,1.0,Metropolitian,6.130823373939967,50,23
28230,20.0,4.8,Cloudy,Low,0,Buffet,0.0,Metropolitian,3.122186560889102,25,24
39924,27.0,4.6,Sandstorms,Medium,2,Drinks,1.0,Metropolitian,12.16583018950039,33,23
39871,36.0,4.8,Stormy,Low,1,Meal,1.0,Urban,10.566835975624892,0,16
1006,24.0,4.8,Cloudy,Jam,1,Meal,1.0,Metropolitian,20.187497094825783,30,30
29746,35.0,4.6,Windy,Low,1,Drinks,1.0,Urban,9.078272552910798,29,21
30190,37.0,4.6,Sandstorms,Jam,0,Drinks,1.0,Urban,17.303295941503084,10,38
36866,33.0,4.8,Stormy,Low,0,Buffet,1.0,Metropolitian,16.606451648646136,6,22
31125,30.0,3.7,Fog,Low,2,Snack,1.0,Metropolitian,13.834624384395871,37,33
31114,33.0,4.6,Fog,Medium,0,Drinks,1.0,Metropolitian,16.836198152074825,53,36
22360,28.0,4.6,Stormy,High,0,Snack,1.0,Metropolitian,1.5129484185860833,31,26
7735,34.0,5.0,Stormy,High,1,Snack,1.0,Urban,3.106065854348754,51,31
43395,22.0,4.6,Windy,Low,1,Buffet,1.0,Urban,11.01119033893336,2,19
4561,20.0,4.6,Stormy,Jam,1,Meal,1.0,Urban,12.16593389806985,40,16
44812,36.0,4.8,Cloudy,Low,0,Buffet,0.0,Urban,1.52090921705968,28,24
15631,39.0,4.9,Fog,Low,2,Snack,0.0,Metropolitian,1.558623114752257,53,18
25030,36.0,3.6,Sandstorms,Jam,1,Buffet,1.0,Metropolitian,12.164949002602702,51,43
31477,37.0,4.9,Fog,Medium,0,Drinks,2.0,Metropolitian,16.373514659630604,33,46
29829,29.0,4.7,Cloudy,Medium,1,Drinks,1.0,Urban,7.663362383172287,24,13
35987,30.0,4.6,Stormy,Low,0,Buffet,1.0,Metropolitian,16.388999332269318,32,21
1113,24.0,4.7,Windy,Jam,1,Snack,0.0,Metropolitian,20.44934725735322,9,17
2038,21.0,4.5,Sunny,High,0,Snack,2.0,Metropolitian,6.051855477105451,42,52
21603,35.0,3.4,Sunny,Low,0,Snack,1.0,Metropolitian,13.485189483503456,37,33
21464,23.0,4.7,Fog,Jam,1,Buffet,1.0,Metropolitian,9.317948234270055,59,23
37169,34.0,5.0,Windy,Jam,0,Buffet,0.0,Metropolitian,17.303295941503084,44,43
21848,39.0,4.7,Stormy,Medium,2,Buffet,1.0,Metropolitian,10.605746101440827,38,23
40090,38.0,4.7,Fog,Low,1,Snack,1.0,Urban,4.591275466596812,11,16
3410,39.0,4.8,Sunny,Medium,0,Drinks,1.0,Urban,5.876359496856285,0,21
29641,36.0,5.0,Cloudy,Low,1,Buffet,0.0,Metropolitian,3.0599109154471766,25,18
20278,22.0,4.7,Sandstorms,Low,2,Drinks,0.0,Urban,13.775092537650965,48,12
17477,26.0,4.5,Windy,Jam,2,Snack,1.0,Metropolitian,16.651740816523432,55,23
39114,24.0,4.9,Sunny,Jam,0,Drinks,0.0,Metropolitian,13.635618731960076,45,22
33289,22.0,5.0,Sunny,Low,2,Drinks,1.0,Metropolitian,1.5549900774341865,14,23
41243,21.0,4.9,Cloudy,Low,0,Snack,0.0,Metropolitian,3.028044796194674,21,15
33115,35.0,4.7,Stormy,Low,1,Meal,1.0,Urban,3.028188561863709,29,23
31855,25.0,4.8,Sunny,Low,2,Snack,1.0,Metropolitian,2.938124819916669,0,16
38279,27.0,5.0,Sandstorms,Jam,2,Buffet,1.0,Metropolitian,11.923337046515044,41,28
11877,33.0,4.5,Windy,Medium,2,Snack,1.0,Metropolitian,4.659041708493997,42,25
43128,22.0,4.7,Stormy,Jam,1,Snack,1.0,Metropolitian,7.763922742576766,0,27
36844,20.0,4.9,Fog,Jam,0,Meal,1.0,Metropolitian,7.774681600772497,0,29
20979,35.0,4.3,Sandstorms,Jam,0,Meal,1.0,Urban,4.562584189378447,0,34
8298,38.0,4.5,Sunny,High,1,Snack,0.0,Metropolitian,6.118847562778637,23,20
16078,20.0,5.0,Stormy,Medium,2,Drinks,1.0,Metropolitian,19.76638140707988,2,19
5845,35.0,4.9,Windy,High,2,Snack,1.0,Metropolitian,6.083506100319571,23,30
37514,29.0,5.0,Fog,Jam,1,Drinks,1.0,Metropolitian,4.5621697368142895,56,32
21896,29.0,4.5,Fog,Low,2,Drinks,0.0,Urban,2.997253985030648,24,11
43625,22.0,4.6,Sandstorms,Jam,2,Drinks,0.0,Urban,13.615555933677422,46,20
15950,20.0,4.0,Windy,Low,0,Meal,0.0,Metropolitian,3.05370692651916,23,23
14031,22.0,4.6,Windy,Jam,2,Snack,1.0,Metropolitian,19.8888917578845,25,24
40165,30.0,4.7,Sandstorms,Jam,2,Buffet,1.0,Metropolitian,9.329579197522056,54,33
18834,25.0,4.6,Stormy,Jam,2,Meal,1.0,Metropolitian,13.686459986596644,36,22
1298,33.0,4.5,Sandstorms,Low,2,Snack,0.0,Urban,12.260534992048427,52,28
12243,21.0,4.8,Windy,Jam,1,Meal,0.0,Urban,8.813184110499128,39,12
1177,36.0,4.6,Fog,High,2,Meal,0.0,Metropolitian,3.041652397005471,56,25
30943,26.0,4.9,Windy,Jam,1,Snack,0.0,Metropolitian,12.240564998992708,39,21
5713,24.0,4.9,Sunny,Low,2,Drinks,0.0,Urban,3.1460547419311484,49,21
26243,35.0,3.5,Windy,Jam,2,Buffet,1.0,Urban,12.584217051037724,49,34
17316,29.566910587697237,4.6,Fog,Medium,1,Meal,2.0,Metropolitian,13.834426296079153,42,34
9385,35.0,4.4,Sandstorms,Low,0,Meal,0.0,Metropolitian,3.1171271629452453,53,26
13812,34.0,4.5,Sunny,Low,0,Meal,0.0,Metropolitian,20.18981741399017,13,24
23976,35.0,4.9,Sunny,Jam,1,Buffet,1.0,Urban,7.603690677059124,27,24
10000,24.0,4.6,Stormy,Jam,2,Buffet,1.0,Metropolitian,20.259942430863557,59,22
30693,36.0,4.6,Windy,Low,2,Buffet,1.0,Metropolitian,9.090937045889628,52,25
6886,38.0,4.9,Stormy,Low,2,Meal,1.0,Metropolitian,13.396989483467635,13,28
7495,24.0,4.9,Windy,Medium,0,Drinks,1.0,Metropolitian,16.830665270669193,48,37
2996,29.0,4.7,Sandstorms,Low,2,Meal,1.0,Urban,9.07768547852594,12,15
45335,20.0,4.7,Cloudy,High,0,Meal,1.0,Metropolitian,3.117231918356306,0,20
22594,24.0,4.9,Stormy,Low,0,Meal,1.0,Metropolitian,19.620892861627603,0,16
31960,24.0,4.2,Windy,Low,0,Snack,1.0,Metropolitian,4.545691056330528,0,26
36157,30.0,4.7,Windy,High,0,Snack,2.0,Metropolitian,6.120391906222028,32,35
38485,32.0,4.5,Sandstorms,High,1,Buffet,1.0,Metropolitian,2.997253985030648,1,29
36688,24.0,4.8,Sunny,Jam,1,Buffet,1.0,Metropolitian,10.593772970695955,26,13
36136,27.0,4.7,Sunny,Jam,2,Buffet,1.0,Urban,4.562360208530027,34,10
14982,29.0,4.7,Stormy,Jam,2,Drinks,1.0,Metropolitian,10.605835666701468,0,29
28254,24.0,5.0,Stormy,Low,2,Meal,0.0,Urban,4.5295802292841865,3,15
3751,36.0,4.6,Cloudy,Jam,0,Snack,1.0,Metropolitian,7.549169651255426,36,25
6,35.0,4.0,Windy,High,1,Meal,1.0,Metropolitian,6.2199531604237,20,33
17686,39.0,4.9,Stormy,Low,1,Snack,0.0,Metropolitian,1.5297777754151165,38,23
3317,21.0,5.0,Sunny,Low,0,Buffet,0.0,Metropolitian,8.990878155726271,33,15
8335,20.0,4.8,Sunny,Jam,1,Drinks,0.0,Metropolitian,10.645359632010168,0,12
22478,39.0,4.8,Sunny,Jam,0,Buffet,0.0,Urban,13.834357779240303,41,25
10565,35.0,4.7,Windy,Jam,0,Buffet,1.0,Metropolitian,9.090825663431971,31,30
41954,24.0,4.6,Sandstorms,Jam,2,Drinks,0.0,Metropolitian,10.59125373585334,49,22
14112,26.0,4.6,Windy,Jam,1,Drinks,1.0,Metropolitian,20.513636045221077,0,26
28777,39.0,5.0,Sandstorms,Jam,1,Meal,0.0,Urban,7.650681447180402,5,25
28786,20.0,4.7,Windy,Medium,2,Snack,0.0,Metropolitian,19.623732141474814,37,20
41818,22.0,5.0,Stormy,Low,1,Drinks,1.0,Metropolitian,13.791931345256508,16,11
33983,35.0,4.9,Cloudy,High,0,Buffet,0.0,Metropolitian,6.212009800509231,0,32
10178,29.0,4.9,Stormy,Low,1,Meal,1.0,Metropolitian,9.19545728675728,38,15
17530,24.0,4.6,Stormy,Low,1,Buffet,0.0,Urban,3.1171190078748774,54,12
6732,31.0,4.9,Stormy,Low,2,Drinks,0.0,Metropolitian,16.61330845809823,57,17
22197,33.0,4.6,Fog,Medium,1,Buffet,0.0,Urban,4.590785813890977,8,17
43280,39.0,4.6,Windy,Low,2,Drinks,1.0,Metropolitian,13.976422161719697,53,17
15943,23.0,4.8,Stormy,Jam,1,Drinks,1.0,Metropolitian,7.685968899509926,30,25
27008,26.0,4.5,Fog,Medium,2,Meal,1.0,Urban,20.18759926859508,0,25
44007,31.0,4.8,Sunny,Low,0,Snack,0.0,Metropolitian,4.562584189378447,3,25
4807,26.0,4.6,Sunny,Low,2,Snack,0.0,Urban,17.083390247190646,47,29
12308,34.0,4.9,Sunny,Low,0,Buffet,1.0,Urban,3.0266059056104844,0,22
33240,21.0,4.5,Cloudy,Low,0,Buffet,1.0,Metropolitian,1.573027382944863,0,23
44060,22.0,4.2,Windy,Jam,0,Buffet,0.0,Metropolitian,16.72653729183243,0,31
